dsc_conjunto_unidade_consumidora;ocor
ALEX. DE GUSMÃO;27
ALPHAVILLE;60
ALTO DA BOA VISTA;96
ALVARENGA;74
AMERICANÓPOLIS;71
ANASTACIO;39
ANCHIETA;46
ANHEMBI;36
AUTONOMISTAS;111
BANDEIRANTES;20
BARRA FUNDA;41
BARTIRA;87
BARUERI;82
BATISTINI;55
BAVIERA;64
BELA ALIANÇA;80
BRASILÂNDIA;52
BRÁS;34
BUENOS AIRES;46
BUTANTÃ;36
CAMBUCI;45
CAMPESTRE;61
CANAÃ;162
CANINDÉ;18
CAPELA;57
CAPUAVA;37
CARAPICUIBA;51
CARRÃO;58
CASA VERDE;32
CASTELO;69
CATUMBI;29
CAUCAIA;124
CENTRO;2
CLEMENTINO;33
CLÁUDIA;66
COIMBRA;113
COMANDANTE TAYLOR;40
CONGONHAS;64
CONTINENTAL;16
COTIA;184
CUPECÊ;143
DIADEMA;61
EMBU;160
EMBU GUAÇU;83
ERMELINO MATARAZZO;56
ESPLANADA;106
GATO PRETO;76
GERMÂNIA;78
GOMES CARDIM;14
GRANJA JULIETA;115
GRANJA VIANA;163
GUAIANAZES;89
GUARAPIRANGA;96
GUMERCINDO;66
HIPÓDROMO;37
IBIRAPUERA;8
ITAIM;35
ITAPECERICA DA SERRA;323
ITAPEVI;222
ITAQUERA;57
ITAQUERUNA;60
JAGUARÉ;34
JANDIRA;100
JAÇANÃ;101
JD. DA GLÓRIA;19
JORDANÉSIA;74
JOÃO CLÍMACO;29
JUQUITIBA;184
JUSCELINO KUBITSCHEK;40
LAPA;27
LEOPOLDINA;56
LIMÃO;59
LUBECA;78
MANDAQUI;75
MATEUS;93
MAUÁ;88
MENINOS;14
MIGUEL PAULISTA;62
MONTE AZUL;164
MONTE BELO;87
MONTE SANTO;74
MONUMENTO;41
MONÇÕES;34
MOOCA;13
MORUMBI;69
NAÇÕES;151
NOVO MUNDO;9
ORATÓRIO;29
OSASCO;61
PAINEIRAS;196
PARELHEIROS;206
PARNAÍBA;122
PARQUE DOS LAGOS;6
PARQUE SÃO DOMINGOS;93
PENHA NOVA;60
PERI;79
PINHEIROS;95
PIRAPORINHA;15
PIRITUBA;81
PLANALTO PAULISTA;72
RAPOSO TAVARES;27
REMÉDIOS;72
RIBEIRÃO PIRES;233
RIO BONITO;93
RIO GRANDE;124
ROSELÂNDIA;57
SABARÁ;66
SACOMÃ;45
SANTA MARIA;129
SANTO AMARO;50
SANTO ANDRÉ;71
SAÚDE;53
SERTÃOZINHO;15
SILVESTRE;36
SUMARÉ;9
SÃO BERNARDO DO CAMPO;28
TABOÃO DA SERRA;151
TAIPAS;56
TAMBORÉ;13
TAMOIO;43
TENENTE MARQUES;69
TIRADENTES;67
TUCURUVI;71
TUIUTI;37
UTINGA;53
VARGEM GRANDE;80
VARGINHA;212
VILA ALMEIDA;44
VILA EMA;81
VILA FORMOSA;120
VILA GUILHERME;19
VILA MARIANA;17
VILA MEDEIROS;41
VILA PAULA;21
VILA PAULICÉIA;43
VILA PROSPERIDADE;63
VILA TALARICO;74
VITÓRIA;56
ÁGUA BRANCA;9
